AZ_SCRIPT,ALT_SCRIPT,ALT,AZ,HA,RA,DEC,LST,ETIQUETA,TIME,
75,45,0.7620745984,1.327496407,-0.7597171361,2.131636379,-0.1029683928,5:14:25,885,4/24/2016 15:03:58,78
75,65,1.121132321,1.323993587,-0.4374269353,1.820103581,-0.2492403823,5:16:53,876,4/24/2016 15:06:26,60
75,85,1.462911975,1.364902051,-0.09281829196,1.483541933,-0.3691270889,5:18:44,815,4/24/2016 15:08:16,298
85,25,0.4277840526,1.490546287,-1.136869435,2.536833864,-0.09043931746,5:20:51,893,4/24/2016 15:10:23,94
85,45,0.7731952372,1.492445872,-0.8081890022,2.211222246,-0.2166864119,5:21:33,893,4/24/2016 15:11:05,94
85,65,1.11586162,1.496666393,-0.4618432677,1.871826626,-0.3191395354,5:23:09,891,4/24/2016 15:12:40,90
85,85,1.478508289,1.488230884,-0.09612756409,1.513294751,-0.3840375404,5:24:47,814,4/24/2016 15:14:19,296
95,25,0.4241627592,1.665823605,-1.193221099,2.61913146,-0.2385165463,5:26:48,899,4/24/2016 15:16:18,106
95,45,0.7666240697,1.667151605,-0.8441008077,2.276278304,-0.335121522,5:28:14,902,4/24/2016 15:17:44,112
95,65,1.129464528,1.66171742,-0.4752138517,1.914328557,-0.3917882512,5:29:49,901,4/24/2016 15:19:20,110
95,85,1.471672224,1.65129999,-0.09667814122,1.543249764,-0.3992669525,5:31:32,809,4/24/2016 15:21:02,286
105,25,0.4159041232,1.842123279,-1.241946403,2.699567331,-0.3897448272,5:34:04,907,4/24/2016 15:23:33,122
105,45,0.7799612956,1.83658053,-0.8666366361,2.328382277,-0.4567290268,5:35:00,907,4/24/2016 15:24:30,122
105,65,1.114130296,1.832713161,-0.4771209975,1.954923805,-0.4655260099,5:38:41,919,4/24/2016 15:28:10,146
105,85,1.46313561,1.783104142,-0.09206790934,1.342713107,-0.4139800094,4:46:38,808,4/26/2016 14:28:23,284
115,25,0.4281694914,2.012079592,-1.283963638,2.542455006,-0.5432019032,4:48:25,910,4/26/2016 14:30:11,128
115,45,0.7722361641,2.009484706,-0.8739518839,2.137432081,-0.5796441406,4:49:34,814,4/26/2016 14:31:19,296
115,65,1.116680028,1.999277505,-0.4642959746,1.733236435,-0.5381157372,4:50:49,923,4/26/2016 14:32:34,154
115,85,1.477877281,1.97386191,-0.08923862553,1.365507298,-0.4284878934,4:52:30,809,4/26/2016 14:34:15,286
125,25,0.4188317061,2.188162886,-1.321867633,2.723397285,-0.6987035629,5:21:12,917,4/26/2016 15:02:52,142
125,45,0.7809206977,2.183725326,-0.8627977735,2.269646003,-0.7028424158,5:22:26,923,4/26/2016 15:04:05,154
125,65,1.124645147,2.1743986,-0.4372724889,1.851055302,-0.6084349075,5:24:01,934,4/26/2016 15:05:40,176
125,85,1.469504011,2.091607197,-0.08133870214,1.500029256,-0.4421063824,5:25:08,807,4/26/2016 15:06:48,282
135,25,0.429500324,2.36035405,-1.349876135,2.784249769,-0.8554647556,5:28:44,923,4/26/2016 15:10:23,154
135,45,0.7712339916,2.353554572,-0.8269019568,2.271497752,-0.8234716779,5:31:05,930,4/26/2016 15:12:43,168
135,65,1.129268548,2.350653188,-0.393824032,1.846421248,-0.6734489474,5:32:55,947,4/26/2016 15:14:33,202
135,85,1.471659458,2.247228401,-0.07090634653,1.532606894,-0.4540794697,5:35:00,803,4/26/2016 15:16:37,274
145,25,0.4230710763,2.534997282,-1.371062577,2.863829726,-1.013133113,5:42:07,929,4/26/2016 15:23:44,166
145,45,0.7729154312,2.525387508,-0.7558666359,2.267929016,-0.9383613467,5:46:32,941,4/26/2016 15:28:08,190
145,65,1.129548935,2.522339384,-0.3329720639,1.85232831,-0.7307315114,5:48:13,955,4/26/2016 15:29:48,218
145,85,1.47421898,2.410478457,-0.05825079441,1.584342331,-0.4642265827,5:49:45,801,4/26/2016 15:31:21,270
155,25,0.4269894018,2.708617705,-1.37700444,2.912314961,-1.171287667,5:51:52,935,4/26/2016 15:33:27,178
155,45,0.7813916793,2.703947943,-0.6330008694,2.175638363,-1.041921937,5:53:33,947,4/26/2016 15:35:07,202
155,65,1.127960956,2.685661448,-0.2546471395,1.802855737,-0.7773118079,5:54:49,958,4/26/2016 15:36:24,224
155,85,1.472956997,2.521064588,-0.04377128355,1.597988876,-0.4721107165,5:56:12,803,4/26/2016 15:37:46,274
165,25,0.4353068656,2.88312035,-1.341402283,2.900540231,-1.329083437,5:57:20,943,4/26/2016 15:38:54,194
165,45,0.783049358,2.878205729,-0.4367274694,2.00086183,-1.124707416,5:58:28,952,4/26/2016 15:40:02,212
165,65,1.130306899,2.857782571,-0.1607950166,1.731040389,-0.8103827504,5:59:52,959,4/26/2016 15:41:26,226
165,85,1.476827964,2.692572569,-0.02777119627,1.601937029,-0.4775158585,6:00:46,802,4/26/2016 15:42:20,272
175,25,0.434387009,3.056714312,-1.052917248,2.631622642,-1.48151827,6:01:49,950,4/26/2016 15:43:22,208
